Maturity (Years),Rate
0.5,3.755154952
1,3.575230453
1.5,3.564186226
2,3.595401795
2.5,3.651311247
3,3.725289068
3.5,3.80954464
4,3.900041486
4.5,3.994142286
5,4.0910195
5.5,4.190206729
6,4.290835825
6.5,4.391888092
7,4.492147847
7.5,4.59036408
8,4.685347696
8.5,4.77597725
9,4.861343718
9.5,4.940652658
10,5.013356434
10.5,5.079063237
11,5.137761839
11.5,5.18953933
12,5.234482804
12.5,5.272721136
13,5.304564651
13.5,5.330372917
14,5.350505507
14.5,5.365321991
15,5.375181939
15.5,5.380430219
16,5.381348881
16.5,5.378203205
17,5.371258471
17.5,5.360779959
18,5.347032949
18.5,5.330282721
19,5.310794555
19.5,5.288833731
20,5.26466553
20.5,5.238536915
21,5.210615313
21.5,5.181046563
22,5.149976505
22.5,5.117550978
23,5.08391582
23.5,5.04921687
24,5.013599969
24.5,4.977210954
25,4.940195666